"filename", "language", "Properties", "JSON with Comments", "TypeScript", "JSON", "Solidity", "JavaScript", "TypeScript JSX", "CSS", "Markdown", "Git Commit Message", "comment", "blank", "total"
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\utils\Address.sol\Address.json", "JSON", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\utils\Context.sol\Context.dbg.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\utils\Context.sol\Context.json", "JSON", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\utils\Errors.sol\Errors.dbg.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\utils\Errors.sol\Errors.json", "JSON", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 1, 49
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\utils\Panic.sol\Panic.dbg.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\utils\Panic.sol\Panic.json", "JSON", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\utils\Strings.sol\Strings.dbg.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\utils\Strings.sol\Strings.json", "JSON", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\utils\introspection\ERC165.sol\ERC165.dbg.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\utils\introspection\ERC165.sol\ERC165.json", "JSON", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 1, 31
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\utils\introspection\IERC165.sol\IERC165.dbg.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\utils\introspection\IERC165.sol\IERC165.json", "JSON", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 1, 31
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\utils\math\Math.sol\Math.dbg.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\utils\math\Math.sol\Math.json", "JSON", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\utils\math\SafeCast.sol\SafeCast.dbg.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\utils\math\SafeCast.sol\SafeCast.json", "JSON", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 1, 66
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\utils\math\SignedMath.sol\SignedMath.dbg.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\@openzeppelin\contracts\utils\math\SignedMath.sol\SignedMath.json", "JSON", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\build-info\e8fa8e9d2a9aa657adce4e5293d83bc2.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\build-info\feb3b8e62481836180f30b3d48a50fd9.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\AddressDemo.sol\AddresDemo.dbg.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\AddressDemo.sol\AddresDemo.json", "JSON", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 1, 38
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\Album.sol\Album.dbg.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\Album.sol\Album.json", "JSON", 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 1, 94
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\AlbumTracker.sol\AlbumTracker.dbg.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\AlbumTracker.sol\AlbumTracker.json", "JSON", 0, 0, 0, 193, 0, 0, 0, 0, 0, 0, 0, 1, 194
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\Demo.sol\Demo.dbg.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\Demo.sol\Demo.json", "JSON", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 1, 62
